Serial Number,TIMESTAMP,DriveSerialNumber,Power_Cycle_Count,Unexpected_Power_Loss_Count,Temperature_cur,Temperature_min,Temperature_max,SSD_Life_Left,Lifetime_NAND_Programs_in_GB,Lifetime_Writes_From_The_Host_in_GB,Lifetime_Reads_From_The_Host_in_GB,Power_On_Hours,Retired_Block_Count,Total_Number_of_NAND_Read_Retries,Program_Fail_Count,Erase_Fail_Count,End.to.End_Error_Detection_Count,Reported_Uncorrectable_Errors,Soft_ECC_Correction_Rate,Y
15,2020-02-09 04:49:47,EI83N072710203N8D,27,22,27,21,36,99,97919,40767,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,2020-02-09 04:49:47,EI83N072710203N8D,27,22,27,21,36,99,97919,40767,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,2020-02-09 04:49:47,EI83N072710203N8D,27,22,27,21,36,99,97919,40767,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,2020-02-09 04:49:47,EI83N072710203N8D,27,22,27,21,36,99,97919,40767,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,2020-02-09 04:49:47,EI83N072710203N8D,27,22,27,21,36,99,97919,40767,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,2020-02-09 04:49:47,EI83N072710203N8D,27,22,27,21,36,99,97919,40767,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,2020-02-09 04:49:47,EI83N072710203N8D,27,22,27,21,36,99,97919,40767,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,2020-02-09 04:49:47,EI83N072710203N8D,27,22,27,21,36,99,97919,40767,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,2020-02-09 04:49:47,EI83N072710203N8D,27,22,27,21,36,99,97919,40767,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,2020-02-09 04:49:47,EI83N072710203N8D,27,22,27,21,36,99,97919,40767,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
